Date,EEM_pos_value,GLD_pos_value,SPY_pos_value,TLT_pos_value,VGK_pos_value,SUM_all_pos_value
2018-04-18,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-01,13.716830039628912,29.037985345712332,21.85604573042409,19.767409337535668,15.229823848162066,99.60809430146307
2018-06-01,11.489495428769134,26.811184181658337,23.063929247495604,22.79477007596632,15.948297039697053,100.10767597358645
2018-07-02,11.53138582128806,21.332164144025892,23.387818852313988,23.73031871206152,18.012354012755367,97.99404154244482
2018-08-01,9.532941966268323,16.94584209531656,29.467992073915703,28.683085179135915,14.2846457107245,98.914507025361
2018-09-04,10.785534553053205,21.551870251305072,29.805053656344263,21.782072853365346,15.14534336833104,99.06987468239893
2018-10-01,11.211595338133469,27.139229884410113,14.048441991499578,28.89938374313957,17.556250636569054,98.85490159375178
2018-11-01,9.057458943860105,27.7483268326627,12.292110151394901,33.99393673214001,13.386320167822637,96.47815282788035
2018-12-03,14.16307288129486,30.508629528196394,9.599818778963156,28.700419851338243,14.741047485253452,97.7129885250461
2019-01-02,12.709098642330424,27.798460612096218,13.415835657802655,27.486166280844323,16.55079081101974,97.96035200409335
2019-02-01,14.667756458978785,20.57673041425295,24.529431362928086,23.557616633623162,18.646880945371684,101.97841581515468
2019-03-01,14.328363593318718,21.25096351592213,21.31184405082935,26.270640994976194,19.46311563680156,102.62492779184795
2019-04-01,15.307267959060892,22.147408373797578,26.86076271247784,18.110414583754924,22.86046320036496,105.28631682945618
2019-05-01,12.802597166720286,28.850988065026705,17.090398002178482,31.61947197392723,15.805222767591909,106.16867797544461
2019-06-03,16.477903664093326,19.589374835716658,22.622918518171787,25.053641316373362,23.25678710276281,107.00062543711795
2019-07-01,25.326236896022404,12.862810996440142,26.8266545814305,22.724345432888153,24.724619732966882,112.46466763974809
2019-08-01,17.47737312313166,27.936873456479464,17.562639219907616,24.433147457360874,24.418777756923664,111.82881101380327
2019-09-03,22.83314400884845,16.652316058886598,30.474592705308925,15.254785923877458,29.323037605037293,114.53787630195873
2019-10-01,23.85395972788951,29.058783397994333,21.497765171916726,21.905742614366194,18.76909660472019,115.08534751688694
2019-11-01,16.36227525303824,19.905401833462005,34.84312942579112,15.844626633165259,32.02837883791695,118.98381198337357
2019-12-02,22.284347877580903,30.251925925454124,28.22543093699874,15.446777521847558,22.344336358836344,118.55281862071767
2020-01-02,14.28910711347491,32.99644923043997,25.724410126163814,25.81509762013627,25.765944515899623,124.59100860611458
2020-02-03,21.440497539013766,26.591377957798617,20.25329163594363,35.170874641296514,21.83749639248812,125.29353816654064
2020-03-02,18.320060008345866,43.13289015106407,18.542951152341224,26.418071657075544,18.219447522155985,124.6334204909827
2020-04-01,16.338840002936372,31.02339806411304,15.207756779511556,36.7315240157968,16.0192611036899,115.32077996604767
2020-05-01,17.512175039579247,35.68630090906575,21.01107979734104,30.378480149775598,18.015178049397843,122.60321394515948
2020-06-01,19.49379920283342,37.82820501396613,18.548631686051085,34.113856563851606,17.626438975908606,127.61093144261082
2020-07-01,15.250051830685775,31.303547954430762,27.298570939067105,37.24864260475991,19.366908157543417,130.46772148648697
2020-08-03,22.6290401434731,13.007794285689886,46.555733376886856,31.408935992232042,26.003194087385598,139.6046978856675
2020-09-01,24.857068593116594,33.22122777549272,18.853529198790532,44.90577872585311,21.387903278400273,143.22550757165322
2020-10-01,27.730932765120908,33.98998106237861,21.262560281313775,37.13320924954543,20.247665043075163,140.3643484014339
2020-11-02,26.354817101442354,23.649932217313612,31.012975758451685,31.9677044860257,25.308121024158797,138.29355058739216
2020-12-01,24.16972797013264,25.985327817099282,39.8655132297951,31.992588225606628,25.392118229011448,147.4052754716451
2021-01-04,21.45660519174044,27.936317715781303,30.5433546430962,43.29194416253037,29.18216659651382,152.41038830966212
2021-02-01,23.844466752309437,27.085413176356585,34.24841402060019,27.551426906822694,38.6544054849669,151.38412634105583
2021-03-01,17.899408357895247,33.189521116240556,29.171044613598394,33.24853139084486,36.02640292284289,149.53490840142194
2021-04-01,27.058545099899348,32.22303368048093,33.942809959162936,31.9553037657796,25.22037794265383,150.40007044797665
2021-05-03,21.859123846313267,38.307454341636536,27.67133807121833,42.53542188992948,24.16689701851809,154.5402351676157
2021-06-01,30.65136738697458,24.029802695785087,44.35284763883877,28.74792909282303,31.129796996656054,158.9117438110775
2021-07-01,20.112515403071907,49.041266444204034,35.63819642243257,27.045975317558728,27.146378566333173,158.9843321536004
2021-08-02,22.509148920917813,24.150344120012072,43.250600151762484,33.36307665791101,38.11632742583918,161.38949727644257
2021-09-01,29.80351641286322,31.905618191694437,37.630236479089874,32.82871936680792,31.579430536887802,163.74752098734325
2021-10-01,25.9752921456604,33.481476085789794,34.630952385461214,26.645819295088458,36.682887908892376,157.41642782089224
2021-11-01,30.110380386894644,34.82650896009534,36.299020875806086,24.129173439155718,37.435592771270734,162.80067643322252
2021-12-01,28.772464323265517,47.693031257859154,24.30041713178609,30.386793348878793,28.169047906287222,159.3217539680768
2022-01-03,25.108841523612654,39.11898596055284,29.395797651220967,31.866759660601854,37.014386866889566,162.50477166287789
2022-02-01,28.239929379540555,49.818638440658454,24.775726076785833,33.122507435944286,23.062621458856615,159.01942279178576
2022-03-01,22.303877865907232,39.801753776725896,35.77524291804456,37.65677906468773,21.98473382558168,157.5223874509471
2022-04-01,27.896912452773826,45.42616140690329,21.587980220164045,32.208042885765394,30.523151771959864,157.64224873756643
2022-05-02,24.64886663507682,45.936286971605206,21.558929290513493,29.467867672078043,24.51494704971964,146.1268976189932
2022-06-01,26.175507291167747,44.5996501623191,22.130101284509426,29.970055907679757,22.72902134546637,145.60433599114242
2022-07-01,27.731122886061883,35.28117854728148,26.30347612845985,30.17587912438912,20.44400653843156,139.93566322462388
2022-08-01,32.440700980022555,38.442949176242564,23.854684605674446,23.2260963810399,25.08269160964296,143.0471227526224
2022-09-01,29.632271551974064,37.91970768268731,24.38363737408815,23.72557558992945,20.302770760035674,135.96396295871466
2022-10-03,22.03666000704668,36.29326474611624,21.43003880569557,30.131087602638175,19.218580691285123,129.1096318527818
2022-11-01,22.74599260368322,33.25155006793461,21.941785993148777,29.393390332160223,20.640503904577674,127.9732229015045
2022-12-01,30.78837210620742,31.572112776844634,27.313905080660522,21.298510472653167,29.71328492123528,140.686185357601
2023-01-03,25.4269008279687,33.39775086106762,25.648530764873403,22.066560114000218,31.37529367801843,137.91503624592838
2023-02-01,30.048368165046153,31.908659913885344,28.671906868386927,28.309901815118597,29.978641845376895,148.9174786078139
2023-03-01,33.0759612085277,27.94270569633651,30.39304143163749,25.408806877217472,24.45597002730525,141.27648524102443
2023-04-03,31.762943583353884,19.333495314469843,38.485114451630665,24.359324583702247,33.63436349671556,147.5752414298722
